"QUESTION_TEXT","OPTIONA","OPTIONB","OPTIONC","OPTIOND","CORRECT_ANSWER","CATEGORY","TOPIC","SUBTOPIC","DIFFICULTY","EXPLANATION","TAGS","TIPS","CORRECTION","SOURCE","POINTS","ACTIVE","TIMES_ANSWERED","TIMES_CORRECT"
"Was bedeutet Test-Driven Development?","Tests nach Entwicklung","Tests vor Implementation","Keine Tests","Nur manuelle Tests","B","Allgemeinwissen","Testing","TDD","2","TDD: Erst Test schreiben, dann Code bis Test grün.","tdd,testing,development","Red-Green-Refactor Zyklus","Verbessert Code-Design","MEGA_FRAGEN_SET_2","10","TRUE","0","0"
"Was ist Code Coverage?","Fehleranzahl","Prozent getesteten Codes","Codezeilen","Performance","B","Allgemeinwissen","Testing","Coverage","1","Code Coverage misst, wieviel Code von Tests ausgeführt wird.","testing,coverage,metrik","100% nicht immer sinnvoll","Branch vs Line Coverage","MEGA_FRAGEN_SET_2","10","TRUE","0","0"
"Was charakterisiert NoSQL-Datenbanken?","Nur SQL","Nicht-relationale Struktur","Langsamer als SQL","Keine Persistenz","B","Anwendungsentwicklung","Datenbanken","NoSQL","2","NoSQL = Not Only SQL, flexible Datenmodelle ohne festes Schema.","nosql,datenbank,schemalos","MongoDB, Redis, Cassandra","Horizontal skalierbar","MEGA_FRAGEN_SET_2","10","TRUE","0","0"
"Was bedeutet ACID?","Atomicity, Consistency, Isolation, Durability","Vier Säuren","Analyse-Tool","Programmiersprache","A","Anwendungsentwicklung","Datenbanken","ACID","2","ACID garantiert Transaktionssicherheit in Datenbanken.","acid,datenbank,transaktion","Atomicity: Alles oder nichts","Relationale DBs sind ACID","MEGA_FRAGEN_SET_2","10","TRUE","0","0"
"Was besagt das CAP-Theorem?","Consistency, Availability, Partition Tolerance - nur 2 von 3","Alle drei immer möglich","Performance-Regel","Sicherheitskonzept","A","Anwendungsentwicklung","Datenbanken","CAP","3","CAP: Verteilte Systeme können maximal 2 von 3 Eigenschaften garantieren.","cap,theorem,distributed","Trade-offs bei verteilten Systemen","CP oder AP, nie CA in Praxis","MEGA_FRAGEN_SET_2","10","TRUE","0","0"
"Was macht ein Datenbankindex?","Verlangsamt Abfragen","Beschleunigt Suche","Löscht Daten","Sichert Daten","B","Anwendungsentwicklung","Datenbanken","Index","1","Index beschleunigt Datenzugriff wie Inhaltsverzeichnis.","index,datenbank,performance","Trade-off: Schreibgeschwindigkeit","B-Tree häufigster Typ","MEGA_FRAGEN_SET_2","10","TRUE","0","0"
"Was ist Database Sharding?","Backup-Methode","Horizontale Partitionierung","Verschlüsselung","Kompression","B","Anwendungsentwicklung","Datenbanken","Sharding","3","Sharding verteilt Daten auf mehrere Datenbankserver.","sharding,datenbank,skalierung","Ermöglicht massive Skalierung","Komplexität steigt","MEGA_FRAGEN_SET_2","10","TRUE","0","0"
"Was sind REST-Prinzipien?","Stateless, Resource-based, HTTP-Verben","Nur GET/POST","Immer JSON","Nur XML","A","Allgemeinwissen","API","REST","2","REST nutzt HTTP-Methoden für CRUD-Operationen auf Ressourcen.","rest,api,http","GET=Read, POST=Create, PUT=Update, DELETE=Delete","Stateless = kein Sitzungszustand","MEGA_FRAGEN_SET_2","10","TRUE","0","0"
"Was ist der Vorteil von GraphQL?","Schneller als REST","Client bestimmt Datenstruktur","Einfacher als REST","Mehr Sicherheit","B","Allgemeinwissen","API","GraphQL","2","GraphQL ermöglicht präzise Abfragen nur benötigter Daten.","graphql,api,query","Verhindert Over/Under-Fetching","Single Endpoint","MEGA_FRAGEN_SET_2","10","TRUE","0","0"
"Wann nutzt man WebSockets?","Für Dateispeicherung","Für bidirektionale Echtzeitkommunikation","Nur für Downloads","Nur für Uploads","B","Allgemeinwissen","API","WebSocket","2","WebSockets ermöglichen persistente Vollduplex-Verbindungen.","websocket,api,realtime","Chat, Live-Updates, Gaming","Upgrade von HTTP-Verbindung","MEGA_FRAGEN_SET_2","10","TRUE","0","0"
"Was ist OAuth 2.0?","Verschlüsselungsstandard","Autorisierungsframework","Programmiersprache","Datenbank","B","Allgemeinwissen","API","OAuth","2","OAuth 2.0 ermöglicht Zugriffsdelegation ohne Passwortweiterleitung.","oauth,api,authorization","'Login mit Google/Facebook'","Access Tokens statt Passwörter","MEGA_FRAGEN_SET_2","10","TRUE","0","0"
"Was ist ein JWT?","Java Web Tool","JSON Web Token","JavaScript Test","Joint Working Team","B","Allgemeinwissen","API","JWT","2","JWT ist selbstbeschreibendes Token für sichere Informationsübertragung.","jwt,token,authentication","Header.Payload.Signature","Stateless Authentication","MEGA_FRAGEN_SET_2","10","TRUE","0","0"
"Was ist eine Blockchain?","Verschlüsselung","Verkettete Datenblöcke","Datenbank","Programmiersprache","B","Allgemeinwissen","Blockchain","Konzept","2","Blockchain ist unveränderliche Kette kryptografisch verbundener Blöcke.","blockchain,krypto,distributed","Dezentral und transparent","Bitcoin erste Anwendung","MEGA_FRAGEN_SET_2","10","TRUE","0","0"
"Was ist Proof of Work?","Arbeitsnachweis","Konsensmechanismus durch Rechenleistung","Verschlüsselung","Signatur","B","Allgemeinwissen","Blockchain","Konsens","2","PoW sichert Blockchain durch rechenintensive Aufgaben.","blockchain,pow,konsens","Bitcoin nutzt PoW","Energieintensiv","MEGA_FRAGEN_SET_2","10","TRUE","0","0"
"Was sind Smart Contracts?","Juristische Verträge","Selbstausführende Programme","E-Mail-Verträge","PDF-Dokumente","B","Allgemeinwissen","Blockchain","Smart Contracts","2","Smart Contracts sind Programme die automatisch Bedingungen ausführen.","blockchain,smart-contract,ethereum","If-Then-Logik auf Blockchain","Ethereum primäre Plattform","MEGA_FRAGEN_SET_2","10","TRUE","0","0"
"Was macht ein Miner?","Gräbt Münzen","Validiert Transaktionen","Programmiert","Designed","B","Allgemeinwissen","Blockchain","Mining","2","Miner validieren Transaktionen und erstellen neue Blöcke.","blockchain,mining,krypto","Erhält Block-Reward","Sichert das Netzwerk","MEGA_FRAGEN_SET_2","10","TRUE","0","0"
"Was bedeutet DeFi?","Definierte Finanzen","Decentralized Finance","Deutsche Finanzen","Default Finance","B","Allgemeinwissen","Blockchain","DeFi","2","DeFi sind Finanzdienstleistungen auf Blockchain ohne Intermediäre.","blockchain,defi,finance","Lending, Trading, Staking","Smart Contracts statt Banken","MEGA_FRAGEN_SET_2","10","TRUE","0","0"
"Welches Protokoll ist typisch für IoT?","HTTP","MQTT","FTP","SMTP","B","Allgemeinwissen","IoT","Protokolle","2","MQTT ist leichtgewichtiges Publish-Subscribe Protokoll für IoT.","iot,mqtt,protokoll","Geringer Bandbreitenbedarf","Ideal für Sensordaten","MEGA_FRAGEN_SET_2","10","TRUE","0","0"
"Was ist Edge Computing?","Cloud Computing","Datenverarbeitung am Netzwerkrand","Zentrale Verarbeitung","Backup-Strategie","B","Allgemeinwissen","IoT","Edge Computing","2","Edge Computing verarbeitet Daten nahe der Quelle statt in Cloud.","iot,edge,computing","Reduziert Latenz","Entlastet Netzwerk","MEGA_FRAGEN_SET_2","10","TRUE","0","0"
"Was ist eine große IoT-Sicherheitsherausforderung?","Zu wenig Geräte","Schwache Default-Passwörter","Zu viel Speicher","Zu schnelle Prozessoren","B","Allgemeinwissen","IoT","Sicherheit","1","Viele IoT-Geräte haben unsichere Standardkonfigurationen.","iot,sicherheit,passwort","Mirai-Botnetz als Beispiel","Updates oft vernachlässigt","MEGA_FRAGEN_SET_2","10","TRUE","0","0"
"Was ist Zigbee?","Programmiersprache","Drahtloser IoT-Standard","Datenbank","Betriebssystem","B","Allgemeinwissen","IoT","Standards","2","Zigbee ist energieeffizienter Funkstandard für Smart Home.","iot,zigbee,wireless","2.4 GHz Band","Mesh-Netzwerk-fähig","MEGA_FRAGEN_SET_2","10","TRUE","0","0"
"Was misst ein Gyroskop?","Temperatur","Drehbewegung","Druck","Feuchtigkeit","B","Allgemeinwissen","IoT","Sensoren","1","Gyroskop misst Winkelgeschwindigkeit und Orientierung.","iot,sensor,gyroskop","In Smartphones und Drohnen","Stabilisierung und Navigation","MEGA_FRAGEN_SET_2","10","TRUE","0","0"
"Was ist Supervised Learning?","Lernen ohne Daten","Lernen mit gelabelten Daten","Lernen ohne Labels","Verstärkungslernen","B","Allgemeinwissen","Machine Learning","Typen","2","Supervised Learning trainiert mit Input-Output-Paaren.","ml,supervised,learning","Klassifikation und Regression","Braucht annotierte Trainingsdaten","MEGA_FRAGEN_SET_2","10","TRUE","0","0"
"Was ist ein Decision Tree?","Datenbankstruktur","Entscheidungsbaum-Algorithmus","Netzwerkprotokoll","Verschlüsselung","B","Allgemeinwissen","Machine Learning","Algorithmen","1","Decision Trees treffen Entscheidungen durch Baumstruktur.","ml,decision-tree,algorithmus","Leicht interpretierbar","Neigt zu Overfitting","MEGA_FRAGEN_SET_2","10","TRUE","0","0"
"Was ist ein Neuron in einem Neural Network?","Gehirnzelle","Recheneinheit","Datenbank","Variable","B","Allgemeinwissen","Machine Learning","Neural Networks","2","Künstliches Neuron berechnet gewichtete Summe mit Aktivierungsfunktion.","ml,neural-network,neuron","Inspiriert von Biologie","Basis von Deep Learning","MEGA_FRAGEN_SET_2","10","TRUE","0","0"
"Was ist Overfitting?","Zu wenig Training","Modell zu spezifisch auf Trainingsdaten","Zu wenig Daten","Modell zu einfach","B","Allgemeinwissen","Machine Learning","Evaluation","2","Overfitting: Modell lernt Rauschen statt Muster.","ml,overfitting,evaluation","Schlechte Generalisierung","Regularisierung als Lösung","MEGA_FRAGEN_SET_2","10","TRUE","0","0"
"Was ist ein CNN?","Content Network","Convolutional Neural Network","Computer Network","Crypto Network","B","Allgemeinwissen","Machine Learning","Deep Learning","2","CNNs sind spezialisiert auf Bilderkennung durch Faltungsschichten.","ml,cnn,deep-learning","Erkennt lokale Muster","ImageNet-Revolution","MEGA_FRAGEN_SET_2","10","TRUE","0","0"
"Was sind Gemeinkosten?","Direkt zuordenbare Kosten","Nicht direkt zuordenbare Kosten","Variable Kosten","Materialkosten","B","Geschäftsprozesse","Wirtschaft","Kalkulation","2","Gemeinkosten können nicht direkt einem Produkt zugeordnet werden (z.B. Miete, Verwaltung).","kalkulation,gemeinkosten,wirtschaft","Gegenteil von Einzelkosten","Werden über Zuschlagssätze verteilt","MEGA_FRAGEN_SET_3","10","TRUE","0","0"
"Was ist der Deckungsbeitrag?","Gewinn","Erlös minus variable Kosten","Fixkosten","Gesamtkosten","B","Geschäftsprozesse","Wirtschaft","Kostenrechnung","2","Deckungsbeitrag = Umsatz - variable Kosten, trägt zur Deckung der Fixkosten bei.","deckungsbeitrag,kostenrechnung,wirtschaft","DB muss Fixkosten decken","DB = Preis - variable Stückkosten","MEGA_FRAGEN_SET_3","10","TRUE","0","0"
"Was ist der Kapitalwert?","Anschaffungskosten","Barwert aller Zahlungen","Restwert","Zinssatz","B","Geschäftsprozesse","Wirtschaft","Investition","3","Kapitalwert = Summe aller abgezinsten Ein- und Auszahlungen.","kapitalwert,investition,npv","NPV = Net Present Value","Positiv = Investition lohnt sich","MEGA_FRAGEN_SET_3","10","TRUE","0","0"
"Was ist Leasing?","Kauf auf Raten","Nutzungsüberlassung gegen Entgelt","Kredit","Sparen","B","Geschäftsprozesse","Wirtschaft","Finanzierung","1","Leasing = Gebrauchsüberlassung ohne Eigentumserwerb.","leasing,finanzierung,wirtschaft","Bilanzielle Vorteile möglich","Operating vs. Finance Lease","MEGA_FRAGEN_SET_3","10","TRUE","0","0"
"Was steht auf der Aktivseite der Bilanz?","Schulden","Vermögen","Eigenkapital","Verbindlichkeiten","B","Geschäftsprozesse","Wirtschaft","Bilanz","1","Aktiva zeigt Mittelverwendung (Vermögen), Passiva die Mittelherkunft.","bilanz,aktiva,buchhaltung","Aktiva = Passiva (immer)","Anlagevermögen + Umlaufvermögen","MEGA_FRAGEN_SET_3","10","TRUE","0","0"
"Was ist lineare Abschreibung?","Variable Beträge","Gleichmäßige Beträge","Keine Abschreibung","Sofortabschreibung","B","Geschäftsprozesse","Wirtschaft","Abschreibung","1","Lineare AfA verteilt Anschaffungskosten gleichmäßig über Nutzungsdauer.","abschreibung,afa,linear","Häufigste Methode","Jährlicher Betrag = AK / Nutzungsdauer","MEGA_FRAGEN_SET_3","10","TRUE","0","0"
"Was sind die 4 P's im Marketing-Mix?","Nur Preis","Product, Price, Place, Promotion","Personal, Prozess, Physik, Politik","Planung, Produktion, Prüfung, Profit","B","Geschäftsprozesse","Wirtschaft","Marketing","1","Die 4P sind die klassischen Instrumente des Marketing-Mix.","marketing,4p,marketing-mix","Produkt-, Preis-, Distributions-, Kommunikationspolitik","Erweitert auf 7P im Dienstleistungsmarketing","MEGA_FRAGEN_SET_3","10","TRUE","0","0"
"Was ist ein Monopol?","Viele Anbieter","Ein Anbieter","Zwei Anbieter","Drei Anbieter","B","Geschäftsprozesse","Wirtschaft","Marktformen","1","Monopol = Marktform mit nur einem Anbieter.","monopol,marktform,wirtschaft","Preissetzer, nicht Preisnehmer","Gefahr des Marktmissbrauchs","MEGA_FRAGEN_SET_3","10","TRUE","0","0"
"Was kennzeichnet eine Rezession?","Wirtschaftswachstum","Wirtschaftsrückgang","Stagnation","Inflation","B","Geschäftsprozesse","Wirtschaft","Konjunktur","2","Rezession = mindestens zwei Quartale negatives Wirtschaftswachstum.","rezession,konjunktur,wirtschaft","Teil des Konjunkturzyklus","BIP sinkt","MEGA_FRAGEN_SET_3","10","TRUE","0","0"
"Was ist die Umsatzsteuer?","Einkommensteuer","Verbrauchsteuer","Vermögensteuer","Erbschaftsteuer","B","Geschäftsprozesse","Wirtschaft","Steuern","1","Umsatzsteuer besteuert den Waren- und Dienstleistungsverkehr.","umsatzsteuer,mwst,steuern","19% Regelsatz, 7% ermäßigt","Vorsteuerabzug für Unternehmen","MEGA_FRAGEN_SET_3","10","TRUE","0","0"
"Wann ist ein Vertrag nichtig?","Bei Irrtum","Bei Sittenwidrigkeit","Bei Lieferverzug","Bei Reklamation","B","Geschäftsprozesse","Recht","Vertragsrecht","2","§ 138 BGB: Sittenwidrige Rechtsgeschäfte sind nichtig.","vertrag,nichtigkeit,bgb","Von Anfang an unwirksam","Wucher, Täuschung, Zwang","MEGA_FRAGEN_SET_3","10","TRUE","0","0"
"Was ist die Probezeit?","Urlaubszeit","Befristete Anfangsphase","Unbezahlte Zeit","Teilzeit","B","Geschäftsprozesse","Recht","Arbeitsrecht","1","Probezeit ermöglicht erleichterte Kündigung (max. 6 Monate).","probezeit,arbeitsrecht,kündigung","Kündigungsfrist 2 Wochen","Beidseitig möglich","MEGA_FRAGEN_SET_3","10","TRUE","0","0"
"Was sind personenbezogene Daten nach DSGVO?","Nur Name und Adresse","Alle Infos über identifizierbare Person","Nur Gesundheitsdaten","Nur Finanzdaten","B","Geschäftsprozesse","Recht","Datenschutz","1","Art. 4 DSGVO: Alle Informationen über identifizierte/identifizierbare Person.","dsgvo,personenbezogene-daten,datenschutz","Sehr weite Definition","IP-Adressen auch betroffen","MEGA_FRAGEN_SET_3","10","TRUE","0","0"
"Wie lange gilt Urheberrecht nach Tod?","10 Jahre","70 Jahre","100 Jahre","Für immer","B","Geschäftsprozesse","Recht","Urheberrecht","2","§ 64 UrhG: Urheberrecht erlischt 70 Jahre nach Tod des Urhebers.","urheberrecht,schutzfrist,urhg","Danach gemeinfrei","Unterschiedlich international","MEGA_FRAGEN_SET_3","10","TRUE","0","0"
"Was ist höhere Gewalt?","Fahrlässigkeit","Unabwendbares Ereignis","Vorsatz","Garantiefall","B","Geschäftsprozesse","Recht","Haftung","2","Höhere Gewalt = von außen kommendes, unabwendbares Ereignis.","höhere-gewalt,haftung,recht","Befreit von Leistungspflicht","Naturkatastrophen, Krieg","MEGA_FRAGEN_SET_3","10","TRUE","0","0"
"Was ist BCC?","Blind Carbon Copy","Before Carbon Copy","Basic Carbon Copy","Binary Carbon Copy","A","Allgemeinwissen","Kommunikation","E-Mail","1","BCC verbirgt Empfänger voreinander (Blindkopie).","email,bcc,kommunikation","Datenschutz bei Rundmails","Empfänger sehen sich nicht","MEGA_FRAGEN_SET_3","10","TRUE","0","0"
"Was ist die 10-20-30 Regel?","Schriftgröße","10 Folien, 20 Min, 30pt Schrift","30 Folien, 20 Min, 10pt","20 Folien, 10 Min, 30pt","B","Allgemeinwissen","Kommunikation","Präsentation","2","Guy Kawasaki's Regel für effektive Präsentationen.","präsentation,regel,kawasaki","Verhindert Überladung","Fokus auf Kernbotschaften","MEGA_FRAGEN_SET_3","10","TRUE","0","0"
"Was ist Mediation?","Gerichtsverfahren","Konfliktlösung durch neutralen Dritten","Strafe","Kündigung","B","Allgemeinwissen","Kommunikation","Konflikt","2","Mediation = strukturierte Konfliktlösung mit neutralem Vermittler.","mediation,konflikt,lösung","Win-Win-Lösungen angestrebt","Freiwillig und vertraulich","MEGA_FRAGEN_SET_3","10","TRUE","0","0"
"Was ist die Sandwich-Methode?","Nur Kritik","Lob-Kritik-Lob","Nur Lob","Schweigen","B","Allgemeinwissen","Kommunikation","Feedback","1","Kritik zwischen positiven Aussagen verpacken.","feedback,sandwich,methode","Kritik leichter annehmbar","Aufrichtigkeit wichtig","MEGA_FRAGEN_SET_3","10","TRUE","0","0"
"Was ist eine Agenda?","Protokoll","Tagesordnung","Teilnehmerliste","Präsentation","B","Allgemeinwissen","Kommunikation","Meeting","1","Agenda strukturiert Meeting-Ablauf und Themen.","meeting,agenda,organisation","Vorab versenden","Zeitvorgaben hilfreich","MEGA_FRAGEN_SET_3","10","TRUE","0","0"
"Was ist ISO 9001?","IT-Standard","Qualitätsmanagement-Norm","Sicherheitsstandard","Umweltstandard","B","Geschäftsprozesse","Qualitätsmanagement","ISO","1","ISO 9001 definiert Anforderungen an Qualitätsmanagementsysteme.","iso9001,qualität,norm","Weltweit anerkannt","Zertifizierung möglich","MEGA_FRAGEN_SET_3","10","TRUE","0","0"
"Was ist Six Sigma?","Programmiersprache","Qualitätsmanagement-Methode","Verschlüsselung","Projektmethode","B","Geschäftsprozesse","Qualitätsmanagement","Methoden","2","Six Sigma strebt 3,4 Fehler pro Million Möglichkeiten an.","six-sigma,qualität,methode","DMAIC-Zyklus","Statistikbasiert","MEGA_FRAGEN_SET_3","10","TRUE","0","0"
"Was ist ein Ishikawa-Diagramm?","Flussdiagramm","Ursache-Wirkungs-Diagramm","Gantt-Chart","Netzplan","B","Geschäftsprozesse","Qualitätsmanagement","Tools","2","Fishbone-Diagramm zur systematischen Fehlerursachenanalyse.","ishikawa,fischgräte,qualität","6M: Mensch, Maschine, Material, Methode, Mitwelt, Messung","Visualisiert Zusammenhänge","MEGA_FRAGEN_SET_3","10","TRUE","0","0"
"Was ist die First Call Resolution Rate?","Anrufanzahl","Lösung beim ersten Kontakt","Wartezeit","Gesprächsdauer","B","Geschäftsprozesse","Qualitätsmanagement","KPI","2","FCR misst Anteil der beim ersten Kontakt gelösten Probleme.","fcr,kpi,support","Wichtige Service-Kennzahl","Höher = besserer Service","MEGA_FRAGEN_SET_3","10","TRUE","0","0"
"Was ist ein SOP?","Software","Standard Operating Procedure","Service Offering","System Operation","B","Geschäftsprozesse","Qualitätsmanagement","Prozess","1","SOPs sind dokumentierte Standardverfahren für wiederkehrende Prozesse.","sop,prozess,standard","Sichert Qualität und Konsistenz","Basis für Schulungen","MEGA_FRAGEN_SET_3","10","TRUE","0","0"
"Was ist Power Usage Effectiveness (PUE)?","Software-Metrik","Rechenzentrum-Effizienz","Netzwerkgeschwindigkeit","Speicherkapazität","B","Allgemeinwissen","Umwelt","Green IT","2","PUE = Gesamtenergie / IT-Energie, ideal nahe 1.0.","pue,green-it,effizienz","Niedriger = effizienter","Durchschnitt bei 1.5-2.0","MEGA_FRAGEN_SET_3","10","TRUE","0","0"
"Was ist WEEE?","Software","Elektronikschrott-Richtlinie","Netzwerkprotokoll","Verschlüsselung","B","Allgemeinwissen","Umwelt","Recycling","1","Waste Electrical and Electronic Equipment Directive der EU.","weee,recycling,elektronikschrott","Hersteller-Rücknahmepflicht","Getrennte Sammlung","MEGA_FRAGEN_SET_3","10","TRUE","0","0"
"Was ist der Energy Star?","Stern","Energieeffizienz-Label","Software","Protokoll","B","Allgemeinwissen","Umwelt","Energieeffizienz","1","Energy Star kennzeichnet energieeffiziente Geräte.","energy-star,effizienz,label","US-EPA Standard","Internationale Anerkennung","MEGA_FRAGEN_SET_3","10","TRUE","0","0"
"Was bedeutet Carbon Footprint?","Schuhgröße","CO2-Bilanz","Energieverbrauch","Wasserverbrauch","B","Allgemeinwissen","Umwelt","Nachhaltigkeit","1","Carbon Footprint misst Treibhausgas-Emissionen.","carbon-footprint,co2,nachhaltigkeit","In CO2-Äquivalenten","Reduzierung wichtig","MEGA_FRAGEN_SET_3","10","TRUE","0","0"
"Was ist die RoHS-Richtlinie?","Software-Standard","Beschränkung gefährlicher Stoffe","Recycling-Norm","Energienorm","B","Allgemeinwissen","Umwelt","Standards","2","Restriction of Hazardous Substances in Electrical Equipment.","rohs,umwelt,richtlinie","Verbietet Blei, Quecksilber etc.","CE-Kennzeichnung betroffen","MEGA_FRAGEN_SET_3","10","TRUE","0","0"
"Was ist die optimale Bildschirmhöhe?","Über Augenhöhe","Oberkante auf Augenhöhe","Unter Augenhöhe","Egal","B","Allgemeinwissen","Ergonomie","Arbeitsplatz","1","Oberkante des Bildschirms sollte auf oder leicht unter Augenhöhe sein.","ergonomie,bildschirm,arbeitsplatz","Verhindert Nackenverspannungen","Blickwinkel 20-30° nach unten","MEGA_FRAGEN_SET_3","10","TRUE","0","0"
"Wie viel Lux für Bildschirmarbeit?","100 Lux","500 Lux","2000 Lux","5000 Lux","B","Allgemeinwissen","Ergonomie","Beleuchtung","2","500 Lux ist Mindestbeleuchtung für Bildschirmarbeitsplätze.","ergonomie,beleuchtung,lux","Blend- und reflexfrei","Tageslicht bevorzugt","MEGA_FRAGEN_SET_3","10","TRUE","0","0"
"Was ist die 20-20-20 Regel?","Arbeitszeit","Augenpause alle 20 Min","Mittagspause","Feierabend","B","Allgemeinwissen","Ergonomie","Pausen","1","Alle 20 Min für 20 Sek auf 20 Fuß (6m) Entfernung schauen.","ergonomie,augen,pause","Reduziert Augenbelastung","Digital Eye Strain vorbeugen","MEGA_FRAGEN_SET_3","10","TRUE","0","0"
"Was ist RSI?","Software","Repetitive Strain Injury","Protokoll","Verschlüsselung","B","Allgemeinwissen","Ergonomie","RSI","2","RSI = Verletzung durch wiederholte Belastung (z.B. Mausarm).","rsi,ergonomie,verletzung","Häufig bei Büroarbeit","Prävention durch Ergonomie","MEGA_FRAGEN_SET_3","10","TRUE","0","0"
"Was ist der optimale Kniewinkel beim Sitzen?","45°","90°","120°","180°","B","Allgemeinwissen","Ergonomie","Sitzhaltung","1","90° Kniewinkel bei Füßen flach auf dem Boden.","ergonomie,sitzen,winkel","Auch 90° Ellenbogenwinkel","Dynamisches Sitzen wichtig","MEGA_FRAGEN_SET_3","10","TRUE","0","0"
"Was ist Waterfall?","Agile Methode","Sequenzielle Methode","Testmethode","Programmiersprache","B","Geschäftsprozesse","Projektmanagement","Methoden","1","Wasserfall-Modell mit sequenziellen Phasen ohne Rücksprünge.","waterfall,wasserfall,projekt","Klassisches Vorgehen","Anforderungen vorab fix","MEGA_FRAGEN_SET_3","10","TRUE","0","0"
"Was ist ein Gantt-Chart?","Kostenplan","Balkendiagramm für Zeitplanung","Risikoanalyse","Organigramm","B","Geschäftsprozesse","Projektmanagement","Tools","1","Gantt-Diagramm visualisiert Projektaktivitäten über Zeit.","gantt,projektplan,diagramm","Zeigt Abhängigkeiten","Henry Gantt 1910","MEGA_FRAGEN_SET_3","10","TRUE","0","0"
"Was macht ein Stakeholder?","Programmiert","Hat Interesse am Projekt","Testet","Dokumentiert","B","Geschäftsprozesse","Projektmanagement","Rollen","1","Stakeholder sind alle vom Projekt Betroffenen/Interessierten.","stakeholder,projekt,rolle","Interne und externe","Stakeholder-Analyse wichtig","MEGA_FRAGEN_SET_3","10","TRUE","0","0"
"Was ist eine RisikoMatrix?","Projektplan","Risikobewertung nach Eintritt/Auswirkung","Kostenplan","Zeitplan","B","Geschäftsprozesse","Projektmanagement","Risiko","2","Matrix bewertet Risiken nach Wahrscheinlichkeit und Schaden.","risiko,matrix,bewertung","Rot-Gelb-Grün Ampel","Priorisierung von Maßnahmen","MEGA_FRAGEN_SET_3","10","TRUE","0","0"
"Was ist ein MVP?","Most Valuable Player","Minimal funktionsfähiges Produkt","Maximum Value Product","Management Vice President","B","Geschäftsprozesse","Projektmanagement","Agile","2","Minimum Viable Product = kleinstmögliche nutzbare Version.","mvp,agile,produkt","Schnelles Feedback","Iterative Entwicklung","MEGA_FRAGEN_SET_3","10","TRUE","0","0"
"Was ist MVC?","Verschlüsselung","Model-View-Controller Pattern","Programmiersprache","Datenbank","B","Anwendungsentwicklung","Softwareentwicklung","Patterns","2","MVC trennt Daten, Präsentation und Steuerung.","mvc,pattern,architektur","Separation of Concerns","Wartbarkeit erhöht","MEGA_FRAGEN_SET_3","10","TRUE","0","0"
"Was ist DRY?","Verschlüsselung","Don't Repeat Yourself","Datenbank","Testmethode","B","Anwendungsentwicklung","Softwareentwicklung","Clean Code","1","DRY-Prinzip vermeidet Code-Duplikation.","dry,clean-code,prinzip","Einmal definieren, mehrfach nutzen","Wartbarkeit verbessern","MEGA_FRAGEN_SET_3","10","TRUE","0","0"
"Was bedeutet das S in SOLID?","Security","Single Responsibility","Speed","Scalability","B","Anwendungsentwicklung","Softwareentwicklung","SOLID","2","Single Responsibility: Klasse hat nur eine Verantwortlichkeit.","solid,srp,prinzip","Eine Klasse, ein Zweck","Erhöht Kohäsion","MEGA_FRAGEN_SET_3","10","TRUE","0","0"
"Was ist Refactoring?","Neue Features","Code-Verbesserung ohne Funktionsänderung","Debugging","Testing","B","Anwendungsentwicklung","Softwareentwicklung","Refactoring","1","Refactoring verbessert Code-Struktur bei gleicher Funktionalität.","refactoring,clean-code,wartung","Kontinuierlich durchführen","Tests absichern","MEGA_FRAGEN_SET_3","10","TRUE","0","0"
"Was bedeutet Semantic Versioning?","Zufällige Nummern","Major.Minor.Patch Schema","Datum-basiert","Alphabetisch","B","Anwendungsentwicklung","Softwareentwicklung","Version","2","MAJOR.MINOR.PATCH (z.B. 2.1.3) mit definierter Bedeutung.","semver,version,schema","Breaking.Feature.Bugfix","API-Kompatibilität anzeigen","MEGA_FRAGEN_SET_3","10","TRUE","0","0"
"Was ist ein Zombie-Prozess?","Virus","Beendeter Prozess im System","Schlafender Prozess","Aktiver Prozess","B","Geschäftsprozesse","Betriebssysteme","Prozesse","2","Zombie = beendeter Prozess, dessen Exit-Status noch nicht abgeholt wurde.","zombie,prozess,unix","Parent muss wait() aufrufen","Belegt Prozess-Tabellen-Eintrag","MEGA_FRAGEN_SET_3","10","TRUE","0","0"
"Was ist Round-Robin?","Backup-Methode","Zeitscheiben-Scheduling","Verschlüsselung","Netzwerkprotokoll","B","Geschäftsprozesse","Betriebssysteme","Scheduling","2","Round-Robin gibt jedem Prozess reihum gleiche CPU-Zeit.","round-robin,scheduling,cpu","Fair aber nicht optimal","Quantum/Zeitscheibe wichtig","MEGA_FRAGEN_SET_3","10","TRUE","0","0"
"Was ist Paging?","Drucken","Speicherverwaltung in Seiten","Netzwerk","Backup","B","Geschäftsprozesse","Betriebssysteme","Memory","2","Paging teilt Speicher in gleich große Seiten auf.","paging,memory,speicher","Vermeidet externe Fragmentierung","Page Table mappt virtuell zu physisch","MEGA_FRAGEN_SET_3","10","TRUE","0","0"
